flavor_item_id,flavor_name,ingredient_original,ingredient_normalized
524667fd-ed6c-461a-8f82-11466247b20f,Bacon e Burrata,bacon e burrata de bufala,BACON E BURRATA DE BUFALA
6ba88a4f-99ba-4e36-a567-c2677fc7dcf7,Banana e Doce de Leite,Doce de leite,DOCE DE LEITE
6ba88a4f-99ba-4e36-a567-c2677fc7dcf7,Banana e Doce de Leite,Banana e canela em pó,BANANA E CANELA EM PO
19fa04fa-36b7-447d-b68b-ca5fd4122e46,Caprese,orégano,OREGANO
f986382e-6183-422e-bbef-d90481d1a380,Cotto Balsâmico,Rùcula,RUCULA
9f524342-4c7a-4e5c-a3d2-36f8622b2d06,Delizia,Queijo vaccino romano,QUEIJO VACCINO ROMANO
c9ee08f6-242b-4a83-babc-792d90a5d9a0,[sem nome],Abóbora,ABOBORA
c9ee08f6-242b-4a83-babc-792d90a5d9a0,[sem nome],Parmesão e mel,PARMESAO E MEL
692377ad-1d0c-4303-b1b2-647c81b63dac,[sem nome],Creme de leite e nozes,CREME DE LEITE E NOZES
61bfd833-d5c6-434f-9634-f0eb5ed9b708,[sem nome],Rúcula,RUCULA
33c3f983-5972-4928-a145-6dec00437711,Siciliana,Berinjela em fatias,BERINJELA EM FATIAS
190e233f-d7eb-4b76-97c9-64707b99333b,Siciliano,Gotas de limão-siciliano em xarope,GOTAS DE LIMAO-SICILIANO EM XAROPE
19bcd0b5-af33-4428-ad8b-43cdde8f6930,Tomate Seco e Rucúla,Rúcula,RUCULA
